NCT ID,Acronym,Overall Status,Start Date,Conditions,Interventions,Locations,Primary Completion Date,Study First Post Date,Last Update Post Date,Study Type,Phases,Sponsor,Sponsor Type,Disease,category
NCT00041639,Unknown,COMPLETED,2000-01,Pancreatic Neoplasms,hMN14 (labetuzumab),"Newport Beach - United States, Washington - United States, Saint Petersburg - United States, Pittsburgh - United States, Seattle - United States, Berlin - Germany, Leipzig - Germany, Budapest - Hungary, Szeged - Hungary, Amsterdam - Netherlands",Unknown Date,2002-07-15,2021-08-19,INTERVENTIONAL,PHASE2,Gilead Sciences,INDUSTRY,pancreatic_cancer,all_disease_procesed.csv
NCT05188586,NODMED,TERMINATED,2022-10-31,Pancreatic Cancer,MRI/Imaging,"Scottsdale - United States, Atlantis - United States, Greenville - United States, Shavano Park - United States, Manassas - United States",2023-03-16,2022-01-12,2024-09-19,INTERVENTIONAL,,ClearNote Health,INDUSTRY,pancreatic_cancer,all_disease_procesed.csv
NCT03948763,Unknown,TERMINATED,2019-06-26,"Neoplasms, Carcinoma, Non-Small-Cell Lung, Pancreatic Neoplasms, Colorectal Neoplasms","V941, Pembrolizumab","Gilbert - United States, Duarte - United States, San Francisco - United States, New Haven - United States, Boston - United States, Las Vegas - United States, Nashville - United States, San Antonio - United States, Temple - United States, Tacoma - United States, Darlinghurst - Australia, Bedford Park - Australia, Clayton - Australia, Hong Kong - Hong Kong, Hong Kong - Hong Kong, Songpagu - Korea, Republic of, Seoul - Korea, Republic of, Seoul - Korea, Republic of, Christchurch - New Zealand, Auckland - New Zealand, Singapore - Singapore, Singapore - Singapore, Singapore - Singapore, Tainan - Taiwan, Taipei - Taiwan, Taipei - Taiwan",2022-08-25,2019-05-14,2025-01-28,INTERVENTIONAL,PHASE1,Merck Sharp & Dohme LLC,INDUSTRY,pancreatic_cancer,all_disease_procesed.csv
NCT00789763,Unknown,COMPLETED,2007-12,Pancreatic Cancer,"Gemcitabine, Radiotherapy, Sorafenib","Barcelona - Spain, Barcelona - Spain, Madrid - Spain, Valencia - Spain",2011-01,2008-11-13,2012-11-29,INTERVENTIONAL,PHASE1,Grupo Espanol Multidisciplinario del Cancer Digestivo,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT06423963,Unknown,RECRUITING,2024-02-09,Pancreatic Cancer,"Physical Activity, Nutrition Counseling, Resistance Training",Tampa - United States,2025-05,2024-05-21,2025-02-03,INTERVENTIONAL,,H. Lee Moffitt Cancer Center and Research Institute,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT04090463,PancFORT,SUSPENDED,2019-10-01,Borderline Resectable Pancreatic Cancer,Intraoperative radiotherapy,Verona - Italy,2027-10-30,2019-09-16,2024-05-07,INTERVENTIONAL,PHASE2,Universita di Verona,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT04940286,Unknown,ACTIVE_NOT_RECRUITING,2021-09-28,"Borderline Resectable Pancreatic Adenocarcinoma, Resectable Pancreatic Adenocarcinoma, Stage IA Pancreatic Cancer AJCC v8, Stage IB Pancreatic Cancer AJCC v8, Stage IIA Pancreatic Cancer AJCC v8, Stage IIB Pancreatic Cancer AJCC v8","Durvalumab, Gemcitabine, Nab-paclitaxel, Oleclumab",Houston - United States,2025-10-30,2021-06-25,2024-11-08,INTERVENTIONAL,PHASE2,M.D. Anderson Cancer Center,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT02184663,Unknown,ACTIVE_NOT_RECRUITING,2014-11-20,"Unresectable Locally Advanced Cancer, Metastatic Pancreatic Cancer","without APA program, APA program","Bordeaux - France, Brest - France, Clichy - France, Creteil - France, Dijon - France, La Roche Sur Yon - France, Levallois Perret - France, Lyon - France, Lyon - France, Marseille - France, Mont de Marsan - France, Montbéliard - France, Paris - France, Paris - France, Reims - France, Suresnes - France, Vandoeuvre Les Nancy - France",2022-04-21,2014-07-09,2023-09-28,INTERVENTIONAL,,GERCOR - Multidisciplinary Oncology Cooperative Group,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT00499486,Unknown,COMPLETED,2005-01,Pancreatic Cancer,sirolimus,Baltimore - United States,2008-09,2007-07-11,2016-10-19,INTERVENTIONAL,PHASE2,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT05939063,Unknown,RECRUITING,2023-10-01,Left-sided Pancreatic Cancer,"LRAMPS, LDP",Shanghai - China,2025-08-31,2023-07-11,2023-11-24,INTERVENTIONAL,,Fudan University,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT03468335,PREDICT,UNKNOWN,2018-03-31,"Locally Advanced Pancreatic Cancer, Metastatic Pancreatic Cancer",Irinotecan Liposomal Injection [Onivyde],"Amberg - Germany, Bad Saarow - Germany, Bad Soden - Germany, Bochum - Germany, Brandenburg - Germany, Coburg - Germany, Deggendorf - Germany, Dresden - Germany, Goslar - Germany, Hannover - Germany, Homburg - Germany, Kassel - Germany, Köln - Hohenlind - Germany, Köln - Germany, Landshut - Germany, Leipzig - Germany, Ludwigshafen - Germany, Mannheim - Germany, Marburg - Germany, München - Germany, Nürnberg - Germany, Offenburg - Germany, Oldenburg - Germany, Ravensburg - Germany, Riesa - Germany, Rostock - Germany, Saarbrücken - Germany, Schweinfurt - Germany, Schwäbisch Hall - Germany, Ulm - Germany, Villingen-Schwenningen - Germany, Weiden - Germany, Westerstede - Germany, Wiesbaden - Germany, Würselen - Germany",2022-05-30,2018-03-16,2022-10-06,INTERVENTIONAL,PHASE3,AIO-Studien-gGmbH,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT01395563,STOPC,WITHDRAWN,2009-01,"Pancreatic Neoplasms, Cachexia, Myopathy",strength training,"Heidelberg - Germany, Heidelberg - Germany, Munich - Germany",2011-12,2011-07-15,2015-03-13,INTERVENTIONAL,,German Cancer Research Center,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT04575363,PaCaBioMarkeR,RECRUITING,2021-10-18,Pancreatic Ductal Adenocarcinoma (PDAC),Blood sample,Reims - France,2026-10-18,2020-10-05,2023-11-09,INTERVENTIONAL,,CHU de Reims,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT04115163,Unknown,RECRUITING,2020-06-24,"Metastatic Pancreatic Adenocarcinoma, Stage IV Pancreatic Cancer AJCC V8","Gemcitabine, Nab-paclitaxel",Columbus - United States,2025-12-31,2019-10-03,2025-02-07,INTERVENTIONAL,PHASE2,Anne Noonan,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT03957135,Unknown,RECRUITING,2019-05-20,Pancreas Neoplasm Malignant Resectable,"Laparoscopic distal pancreatectomy, open distal pancreatectomy","Seongnam-si - Korea, Republic of",2025-11-30,2019-05-21,2022-09-21,INTERVENTIONAL,,Seoul National University Hospital,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT04083235,NAPOLI 3,COMPLETED,2020-02-11,Metastatic Adenocarcinoma of the Pancreas,"Irinotecan Liposomal Injection, Oxaliplatin, 5Fluorouracil, Leucovorin, Nab-paclitaxel, Gemcitabine","Birmingham - United States, Gilbert - United States, Phoenix - United States, Bakersfield - United States, Costa Mesa - United States, Duarte - United States, Los Angeles - United States, Orange - United States, Orange - United States, Redondo Beach - United States, Sacramento - United States, Whittier - United States, Colorado Springs - United States, Denver - United States, Miami Beach - United States, Miami - United States, Sarasota - United States, Tallahassee - United States, Tampa - United States, West Palm Beach - United States, Chicago - United States, Elmhurst - United States, Peoria - United States, Urbana - United States, Fort Wayne - United States, Sioux City - United States, Lexington - United States, Pikeville - United States, Baton Rouge - United States, New Orleans - United States, Shreveport - United States, Scarborough - United States, Silver Spring - United States, Boston - United States, Detroit - United States, Grand Rapids - United States, Minneapolis - United States, Rochester - United States, Kansas City - United States, Billings - United States, Omaha - United States, Las Vegas - United States, Lake Success - United States, New York - United States, Rochester - United States, Stony Brook - United States, Asheville - United States, Columbus - United States, Toledo - United States, Oklahoma City - United States, Eugene - United States, Portland - United States, Portland - United States, Portland - United States, Pittsburgh - United States, Greenville - United States, Chattanooga - United States, Memphis - United States, Nashville - United States, Austin - United States, Dallas - United States, Fort Worth - United States, Houston - United States, Houston - United States, Houston - United States, Houston - United States, Tyler - United States, Wichita Falls - United States, Salt Lake City - United States, Fairfax - United States, Wytheville - United States, Milwaukee - United States, Bankstown - Australia, Clayton - Australia, Murdoch - Australia, Nedlands - Australia, Subiaco - Australia, Woodville South - Australia, Graz - Austria, Linz - Austria, Salzburg - Austria, Vienna - Austria, Aalst - Belgium, Charleroi - Belgium, Edegem - Belgium, Gent - Belgium, Haine-Saint-Paul - Belgium, Leuven - Belgium, Yvoir - Belgium, Barretos - Brazil, Ceara - Brazil, Curitiba - Brazil, Florianópolis - Brazil, Ijuí - Brazil, Itajaí - Brazil, Lajeado - Brazil, Natal - Brazil, Porto Alegre - Brazil, Rio de Janeiro - Brazil, Rio De Janeiro - Brazil, San Paolo - Brazil, São José Do Rio Preto - Brazil, São Paulo - Brazil, São Paulo - Brazil, Edmonton - Canada, Halifax - Canada, Montréal - Canada, Sherbrooke - Canada, Brno - Czechia, Hradec Králové - Czechia, Olomouc - Czechia, Praha - Czechia, Chambray-lès-Tours - France, Lille - France, Lyon - France, Lyon - France, Lyon - France, Nice - France, Paris - France, Pessac - France, Poitiers Cedex - France, Strasbourg - France, Berlin - Germany, Bochum - Germany, Esslingen - Germany, Frankfurt - Germany, Halle - Germany, Halle - Germany, Hamburg - Germany, Hamburg - Germany, Hamburg - Germany, Hannover - Germany, Heilbronn - Germany, Mannheim - Germany, Mönchengladbach - Germany, Tuebingen - Germany, Ulm - Germany, Athens - Greece, Athens - Greece, Athens - Greece, Ioánnina - Greece, Thessaloníki - Greece, Budapest - Hungary, Budapest - Hungary, Budapest - Hungary, Debrecen - Hungary, Kaposvár - Hungary, Szolnok - Hungary, Beer Sheva - Israel, Haifa - Israel, Bologna - Italy, Meldola - Italy, Milano - Italy, Modena - Italy, Piacenza - Italy, Pisa - Italy, Torrette - Italy, Verona - Italy, Busan - Korea, Republic of, Goyang-si - Korea, Republic of, Gyeonggi-do - Korea, Republic of, Seoul - Korea, Republic of, Seoul - Korea, Republic of, Seoul - Korea, Republic of, Braga - Portugal, Lisboa - Portugal, Lisbon - Portugal, Senhora da Hora - Portugal, Vila Nova de Gaia - Portugal, Chelyabinsk - Russian Federation, Kazan - Russian Federation, Kursk - Russian Federation, Moscow - Russian Federation, Novgorod - Russian Federation, Saint-Petersburg - Russian Federation, Alicante - Spain, Badajoz - Spain, Badalona - Spain, Barcelona - Spain, Barcelona - Spain, Barcelona - Spain, Barcelona - Spain, Barcelona - Spain, Barcelona - Spain, Granada - Spain, Madrid - Spain, Madrid - Spain, Madrid - Spain, Madrid - Spain, Madrid - Spain, Málaga - Spain, Pamplona - Spain, Santander - Spain, Zaragoza - Spain, London - United Kingdom, London - United Kingdom, London - United Kingdom, London - United Kingdom, Manchester - United Kingdom, Nottingham - United Kingdom",2022-07-23,2019-09-10,2025-02-27,INTERVENTIONAL,PHASE3,Ipsen,INDUSTRY,pancreatic_cancer,all_disease_procesed.csv
NCT00005858,Unknown,COMPLETED,2000-04,"Bladder Cancer, Breast Cancer, Colorectal Cancer, Lung Cancer, Ovarian Cancer, Pancreatic Cancer",LMB-9 immunotoxin,"Baltimore - United States, Bethesda - United States",2003-12,2003-01-27,2019-11-04,INTERVENTIONAL,PHASE1,"University of Maryland, Baltimore",OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT01280058,Unknown,COMPLETED,2010-12,"Pancreatic Acinar Cell Carcinoma, Pancreatic Ductal Adenocarcinoma, Recurrent Pancreatic Carcinoma, Stage IV Pancreatic Cancer","Carboplatin, Laboratory Biomarker Analysis, Paclitaxel, Wild-type Reovirus","Washington - United States, Atlanta - United States, Bronx - United States, Bronx - United States, Columbus - United States, Oklahoma City - United States",2016-01-19,2011-01-20,2018-03-09,INTERVENTIONAL,PHASE2,National Cancer Institute (NCI),NIH,pancreatic_cancer,all_disease_procesed.csv
NCT02311439,Unknown,UNKNOWN,2014-10,Cancer of Pancreas,FOLFIRINOX + CRT,Asyut - Egypt,2016-11,2014-12-08,2014-12-08,INTERVENTIONAL,PHASE3,Assiut University,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT01959139,Unknown,COMPLETED,2014-01-23,Metastatic Pancreatic Adenocarcinoma,"PEGPH20, Oxaliplatin, Leucovorin, Irinotecan, 5-fluorouracil","Anchorage - United States, Anchorage - United States, Anchorage - United States, Anchorage - United States, Anchorage - United States, Tucson - United States, Tucson - United States, Auburn - United States, Auburn - United States, Berkeley - United States, Burbank - United States, Burlingame - United States, Cameron Park - United States, Castro Valley - United States, Corona - United States, Costa Mesa - United States, Davis - United States, Duarte - United States, Los Angeles - United States, Los Angeles - United States, Marysville - United States, Modesto - United States, Mountain View - United States, Mountain View - United States, Novato - United States, Orange - United States, Palo Alto - United States, Roseville - United States, Roseville - United States, Sacramento - United States, Sacramento - United States, San Francisco - United States, Santa Cruz - United States, Santa Rosa - United States, Sunnyvale - United States, Truckee - United States, Vacaville - United States, Vallejo - United States, West Covina - United States, Derby - United States, Fairfield - United States, Guilford - United States, Hartford - United States, New Haven - United States, New Haven - United States, North Haven - United States, Orange - United States, Torrington - United States, Trumbull - United States, Waterbury - United States, Boise - United States, Fruitland - United States, Meridian - United States, Nampa - United States, Twin Falls - United States, Bloomington - United States, Bloomington - United States, Canton - United States, Carbondale - United States, Carthage - United States, Centralia - United States, Decatur - United States, Decatur - United States, Effingham - United States, Eureka - United States, Galesburg - United States, Galesburg - United States, Kewanee - United States, Macomb - United States, Ottawa - United States, Ottawa - United States, Pekin - United States, Pekin - United States, Peoria - United States, Peoria - United States, Peoria - United States, Peoria - United States, Peru - United States, Peru - United States, Princeton - United States, Springfield - United States, Springfield - United States, Springfield - United States, Springfield - United States, Swansea - United States, Lenexa - United States, Lenexa - United States, Overland Park - United States, Overland Park - United States, Prairie Village - United States, Detroit - United States, Farmington Hills - United States, Bonne Terre - United States, Cape Girardeau - United States, Cape Girardeau - United States, Independence - United States, Jefferson City - United States, Kansas City - United States, Kansas City - United States, Kansas City - United States, Lee's Summit - United States, Liberty - United States, Saint Joseph - United States, Saint Louis - United States, Sainte Genevieve - United States, Sullivan - United States, Sunset Hills - United States, Asheboro - United States, Burlington - United States, Clinton - United States, Goldsboro - United States, Goldsboro - United States, Greensboro - United States, Hendersonville - United States, Hendersonville - United States, Jacksonville - United States, Mebane - United States, Reidsville - United States, Wilson - United States, Oklahoma City - United States, Bend - United States, Clackamas - United States, Clackamas - United States, Coos Bay - United States, Newberg - United States, Oregon City - United States, Portland - United States, Portland - United States, Charleston - United States, Aberdeen - United States, Anacortes - United States, Bellingham - United States, Centralia - United States, Edmonds - United States, Everett - United States, Issaquah - United States, Kennewick - United States, Kirkland - United States, Lacey - United States, Longview - United States, Seattle - United States, Seattle - United States, Seattle - United States, Seattle - United States, Seattle - United States, Seattle - United States, Seattle - United States, Seattle - United States, Shelton - United States, Spokane Valley - United States, Spokane - United States, Vancouver - United States, Walla Walla - United States, Yelm - United States",2019-04,2013-10-09,2024-02-09,INTERVENTIONAL,PHASE2,SWOG Cancer Research Network,NETWORK,pancreatic_cancer,all_disease_procesed.csv
NCT02150135,Unknown,COMPLETED,2014-06,"Cancer, Pancreas",Oncothermia,"Seongnam - Korea, Republic of",2015-11,2014-05-29,2016-09-07,INTERVENTIONAL,PHASE1,Seoul National University Hospital,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT00837135,Unknown,WITHDRAWN,2008-01,Pancreatic Cancer,"Screening, GI-4000 Vaccine, GI-4000 Vaccine + Activated T Cells, Surgical Evaluation after Vaccine #4",No locations listed,2009-10,2009-02-05,2016-08-17,INTERVENTIONAL,PHASE1,University of Pennsylvania,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT05433935,Unknown,RECRUITING,2022-07-01,Intraductal Papillary Mucinous Neoplasm,Observation,Hangzhou - China,2032-06-30,2022-06-27,2023-01-27,OBSERVATIONAL,Not Available,Zhejiang University,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT06532617,Unknown,NOT_YET_RECRUITING,2024-08-01,Pancreatic Neoplasms,Cadonilimab+S-1or Capecitabine,Shanghai - China,2026-08-01,2024-08-01,2024-08-01,INTERVENTIONAL,PHASE2,"Shanghai General Hospital, Shanghai Jiao Tong University School of Medicine",OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT06760234,Unknown,ACTIVE_NOT_RECRUITING,2024-07-05,Pancreatic Adenocarcinoma,"No Interventions, No Interventions",Hangzhou - China,2024-12-15,2025-01-06,2025-01-09,OBSERVATIONAL,Not Available,"Second Affiliated Hospital, School of Medicine, Zhejiang University",OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT02822716,IRE,TERMINATED,2013-07-22,"Hepatic Malignant Tumors, Pancreatic Cancer","IRE treatment, Ultrasound",Hong Kong - Hong Kong,2020-09-23,2016-07-04,2022-10-21,INTERVENTIONAL,,Chinese University of Hong Kong,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT02683824,Unknown,COMPLETED,2016-01-12,"Healthy Subject, Pancreatic Carcinoma","Computed Tomography, Laboratory Biomarker Analysis, PET/MRI scan, [18F]FP-R01-MG-F2",Palo Alto - United States,2021-09-27,2016-02-17,2023-09-21,INTERVENTIONAL,PHASE1,Stanford University,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT00862524,Unknown,COMPLETED,2009-03,"Advanced Cancer, Pancreatic Cancer","ARRY-334543, EGFR/ErbB2 inhibitor; oral, Gemcitabine, nucleoside analogue; intravenous","Phoenix - United States, Santa Monica - United States, Aurora - United States, Boston - United States, Boston - United States, Nashville - United States",2011-02,2009-03-17,2012-10-04,INTERVENTIONAL,PHASE2,Array BioPharma,INDUSTRY,pancreatic_cancer,all_disease_procesed.csv
NCT04616534,Unknown,ACTIVE_NOT_RECRUITING,2021-06-01,"Advanced Fallopian Tube Carcinoma, Advanced Malignant Solid Neoplasm, Advanced Ovarian Carcinoma, Advanced Pancreatic Adenocarcinoma, Advanced Primary Peritoneal Carcinoma, Fallopian Tube High Grade Serous Adenocarcinoma, Metastatic Pancreatic Adenocarcinoma, Ovarian High Grade Serous Adenocarcinoma, Platinum-Resistant Fallopian Tube Carcinoma, Platinum-Resistant Ovarian Carcinoma, Platinum-Resistant Primary Peritoneal Carcinoma, Primary Peritoneal High Grade Serous Adenocarcinoma, Stage II Pancreatic Cancer AJCC v8, Stage III Fallopian Tube Cancer AJCC v8, Stage III Ovarian Cancer AJCC v8, Stage III Pancreatic Cancer AJCC v8, Stage III Primary Peritoneal Cancer AJCC v8, Stage IV Fallopian Tube Cancer AJCC v8, Stage IV Ovarian Cancer AJCC v8, Stage IV Pancreatic Cancer AJCC v8, Stage IV Primary Peritoneal Cancer AJCC v8, Unresectable Pancreatic Adenocarcinoma","Biopsy, Biospecimen Collection, Diagnostic Imaging, Elimusertib, Gemcitabine","Bethesda - United States, Bethesda - United States, Boston - United States",2025-02-01,2020-11-05,2024-08-13,INTERVENTIONAL,PHASE1,National Cancer Institute (NCI),NIH,pancreatic_cancer,all_disease_procesed.csv
NCT03432624,Unknown,UNKNOWN,2018-03-01,"Carcinoma, Pancreatic Ductal",Serum MicroRNA-25 detection,Shanghai - China,2018-10-01,2018-02-14,2018-02-14,OBSERVATIONAL,Not Available,Fudan University,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT01342224,Unknown,COMPLETED,2011-01,Locally Advanced Pancreatic Adenocarcinoma,tadalafil and vaccination,Portland - United States,2012-06,2011-04-27,2018-04-12,INTERVENTIONAL,PHASE1,Providence Health & Services,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT00053924,Unknown,COMPLETED,2003-05,Pancreatic Cancer,perifosine,"Hamilton - Canada, London - Canada, Toronto - Canada",2006-05,2003-02-06,2015-07-23,INTERVENTIONAL,PHASE2,"University Health Network, Toronto",OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT00353496,CLARINET,COMPLETED,2006-06,Endocrine Tumors,"lanreotide (Autogel formulation), Placebo","Los Angeles - United States, Iowa City - United States, Baltimore - United States, Boston - United States, New York - United States, Portland - United States, Houston - United States, Madison - United States, Vienna - Austria, Antwerpen - Belgium, Bruxelles - Belgium, Gent - Belgium, Bulovce - Czechia, Olomouc - Czechia, Praha - Czechia, Aarhus - Denmark, Copenhagen - Denmark, Boulogne Billancourt - France, Clichy - France, Lille - France, Lyon - France, Marseille - France, Reims - France, St Raphael - France, Toulouse - France, Villejuif - France, Berlin - Germany, Erlangen - Germany, Lubeck - Germany, Mainz - Germany, Munchen - Germany, Neuss - Germany, Hyderabad - India, Mumbai - India, Aviano - Italy, Bologna - Italy, Milano - Italy, Naples - Italy, Pisa - Italy, Torino - Italy, Gronigen - Netherlands, Rotterdam - Netherlands, Utrecht - Netherlands, Gliwice - Poland, Poznan - Poland, Warszawa - Poland, Warszawa - Poland, Warszawa - Poland, Zabrze - Poland, Slovakia - Slovakia, Slovakia - Slovakia, Barcelona - Spain, Barcelona - Spain, Madrid - Spain, Madrid - Spain, Tenerife - Spain, Goteborg - Sweden, Stockholm - Sweden, Uppsala - Sweden, Basingstoke - United Kingdom, Belfast - United Kingdom, Cardiff - United Kingdom, Edinburgh - United Kingdom, Glasgow - United Kingdom, Leeds - United Kingdom, Leicester - United Kingdom, London - United Kingdom, London - United Kingdom, Nottingham - United Kingdom, Oxford - United Kingdom, Sheffield - United Kingdom",2013-04,2006-07-18,2022-10-12,INTERVENTIONAL,PHASE3,Ipsen,INDUSTRY,pancreatic_cancer,all_disease_procesed.csv
NCT06361316,Unknown,RECRUITING,2024-04-08,"Pancreatic Cancer, Adjuvant Therapy",Irinotecan liposome injection,Nanjing - China,2025-03-25,2024-04-11,2024-04-11,INTERVENTIONAL,,Kuirong Jiang,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT05621824,Unknown,NOT_YET_RECRUITING,2024-12,"Carcinoma, Pancreatic Ductal","Endoscopic ultrasound, EUS-Fine needle aspiration",No locations listed,2026-06,2022-11-18,2024-04-09,OBSERVATIONAL,Not Available,Peking Union Medical College Hospital,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT01333124,Unknown,TERMINATED,2011-09-28,Resectable Pancreatic Carcinoma,"chemoradiotherapy with Gemcitabine, Radiation: chemoradiotherapy with Gemcitabine","Goyang-si - Korea, Republic of",2017-12-31,2011-04-11,2020-04-06,INTERVENTIONAL,PHASE2,"National Cancer Center, Korea",OTHER_GOV,pancreatic_cancer,all_disease_procesed.csv
NCT03077334,Unknown,COMPLETED,2014-10-07,Pancreatic Cancer,PET-CT,"Seoul - Korea, Republic of",2018-09-17,2017-03-10,2019-01-11,OBSERVATIONAL,Not Available,Yonsei University,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT04371224,NaliCap,RECRUITING,2020-06-23,Pancreatic Cancer,"Irinotecan Liposomal Injection [Onivyde], Capecitabine, 5-fluorouracil, Leucovorin","Seongnam-si - Korea, Republic of, Seoul - Korea, Republic of",2024-12-31,2020-05-01,2024-04-19,INTERVENTIONAL,PHASE2,Seoul National University Hospital,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT06639724,Unknown,RECRUITING,2024-12-05,Pancreatic Ductal Adenocarcinoma (PDAC),Fostamatinib in combination with chemotherapy (gemcitabine and nab-paclitaxel),La Jolla - United States,2027-06,2024-10-15,2024-12-27,INTERVENTIONAL,PHASE1,"University of California, San Diego",OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT05776524,Unknown,RECRUITING,2023-06-13,"Pancreatic Cancer, Metastatic Adenocarcinoma","Nab paclitaxel, Gemcitabine, TheraBionic",Winston-Salem - United States,2027-07,2023-03-20,2024-12-05,INTERVENTIONAL,PHASE2,Wake Forest University Health Sciences,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT03076216,OncoPaC-1,COMPLETED,2017-08-01,Unresectable Locally Advanced Pancreatic Carcinoma,OncoSil™,"Los Angeles - United States, Tampa - United States, Baltimore - United States, Houston - United States",2020-11-28,2017-03-10,2021-07-13,INTERVENTIONAL,,OncoSil Medical Limited,INDUSTRY,pancreatic_cancer,all_disease_procesed.csv
NCT00495924,Unknown,COMPLETED,2006-10,"Pancreatic Neoplasms, Adenocarcinoma, Neoplasm Circulating Cells, Tumor Markers, Biological, Monitoring, Immunologic",Pancreatic resection (PD),Leuven - Belgium,Unknown Date,2007-07-03,2009-07-08,OBSERVATIONAL,Not Available,KU Leuven,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT03127124,Unknown,WITHDRAWN,2018-02-27,Pancreatic Adenocarcinoma Metastatic,"NANT-008, Fluorouracil Injectable Product, Avastin Injectable Product, Leucovorin Calcium Injection, Eloxatin Injectable Product",El Segundo - United States,2023-12-06,2017-04-25,2024-04-02,INTERVENTIONAL,PHASE2,"NantPharma, LLC",INDUSTRY,pancreatic_cancer,all_disease_procesed.csv
NCT01571024,Unknown,COMPLETED,2012-05,"Advanced Solid Tumors, Metastatic Colorectal Cancer, Metastatic Pancreatic Cancer","BKM120, mFOLFOX6",Chapel Hill - United States,2015-05,2012-04-04,2017-04-26,INTERVENTIONAL,PHASE1,UNC Lineberger Comprehensive Cancer Center,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT00669734,Unknown,ACTIVE_NOT_RECRUITING,2010-02-01,"Locally Advanced Pancreatic Adenocarcinoma, Pancreatic Acinar Cell Carcinoma, Pancreatic Ductal Adenocarcinoma, Stage III Pancreatic Cancer AJCC v6 and v7, Stage IV Pancreatic Cancer AJCC v6 and v7","Falimarev, Inalimarev, Laboratory Biomarker Analysis, Sargramostim",New Brunswick - United States,2021-09-02,2008-04-30,2024-10-23,INTERVENTIONAL,PHASE1,National Cancer Institute (NCI),NIH,pancreatic_cancer,all_disease_procesed.csv
NCT01971034,Unknown,COMPLETED,2011-06,Pancreatic Adenocarcinoma Advanced or Metastatic,"Paclitaxel, Metformin",Sao Paulo - Brazil,2012-06,2013-10-28,2014-05-16,INTERVENTIONAL,PHASE2,Instituto do Cancer do Estado de São Paulo,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT00003434,Unknown,TERMINATED,1998-06,Pancreatic Cancer,"carcinoembryonic antigen peptide 1, hepatitis B antigen peptide",Durham - United States,2002-08,2004-04-27,2014-02-10,INTERVENTIONAL,PHASE1,Duke University,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT01372735,NEOPANC,UNKNOWN,2011-08,Pancreatic Neoplasms,"neoadjuvant short course IMRT, IORT","Heidelberg - Germany, Heidelberg - Germany, Heidelberg - Germany",2013-08,2011-06-14,2011-06-14,INTERVENTIONAL,PHASE2,University Hospital Heidelberg,OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT02072616,CTC-Pancreas,UNKNOWN,2014-09,"Circulating Tumor Cells, Pancreatic Adenocarcinoma, Circulating Tumor DNA (KRAS), CA 19.9",Pancreatic adenocarcinoma diagnosis,Rouen - France,2018-09,2014-02-26,2018-05-29,INTERVENTIONAL,PHASE3,"University Hospital, Rouen",OTHER,pancreatic_cancer,all_disease_procesed.csv
NCT05048524,Unknown,RECRUITING,2021-09-03,"Pancreatic Ductal Adenocarcinoma, Pancreas Cancer","S-1, leucovorin, oxaliplatin and gemcitabine","Kaohsiung - Taiwan, Tainan - Taiwan, Tainan - Taiwan",2024-08-24,2021-09-17,2024-03-27,INTERVENTIONAL,PHASE2,"National Health Research Institutes, Taiwan",OTHER,pancreatic_cancer,all_disease_procesed.csv
